gene,logP
d_sym_1,0.2643034373619862
d_sym_9,4.827465384765881
d_sym_11,3.3523634884895817
d_sym_13,0.03690574898717458
d_sym_18,-0.22967320713198622
d_sym_19,-1.5281509577823509
d_sym_27,-5.008549306258217
d_sym_28,-0.1737558993146354
d_sym_33,2.1405949493295777
d_sym_37,0.44290619858476143
d_sym_48,-0.23995984956999486
d_sym_51,-1.9865368763419324
d_sym_57,2.173117707305772
d_sym_59,4.560799910283313
d_sym_62,0.6889597413995502
d_sym_64,2.3610096472889555
d_sym_70,-1.184587440704145
d_sym_74,-0.15109889444825295
d_sym_79,0.06273505557192892
d_sym_82,0.5952625831194005
d_sym_84,-1.0924926220982147
d_sym_85,0.9829055767711551
d_sym_90,-0.21367660962320423
d_sym_95,-0.5854750864448572
d_sym_101,-1.4843478545722566
d_sym_110,-1.397762412703104
d_sym_111,1.5328618695925509
d_sym_114,0.05201332803035758
d_sym_120,1.328077679691732
d_sym_122,-0.35997890290797285
d_sym_124,0.15553332258999295
d_sym_127,0.08388250132749062
d_sym_128,-0.8709803264268671
d_sym_129,0.6123412525234656
d_sym_130,0.07962789095786098
d_sym_134,1.4557797743466632
d_sym_137,1.6037693853080466
d_sym_141,-1.0304647891926302
d_sym_142,-0.19691293077889999
d_sym_147,-2.7663497925671474
d_sym_155,1.6098366717339565
d_sym_159,0.07550951012596506
d_sym_160,2.643616604567994
d_sym_163,1.3757387337576032
d_sym_166,0.4015911244495477
d_sym_172,0.9872442409608007
d_sym_174,1.4401310460087575
d_sym_177,-0.8137541899351726
d_sym_183,-1.0835236917426552
d_sym_188,-1.5881467879792464
d_sym_190,-2.1616836472819085
d_sym_193,-0.9468504421667165
d_sym_195,0.1972046579469774
d_sym_198,0.2904674698979319
d_sym_200,0.05224319007675008
d_sym_201,1.1479362097758965
d_sym_202,-0.6731862420083233
d_sym_204,1.9949234996013878
d_sym_208,-0.29980584151575285
d_sym_215,-0.8040795724579586
d_sym_216,4.531906593844403
d_sym_217,-0.5051020363524423
d_sym_234,-0.4513859116701965
d_sym_236,2.348589471525427
d_sym_237,-0.9887470706637608
d_sym_238,0.11108270387264171
d_sym_241,-0.9446319830110823
d_sym_243,-0.15535465176469856
d_sym_244,-0.5113971873084707
d_sym_246,-0.31974223100077404
d_sym_256,-0.7346955283772295
d_sym_264,4.153089419301768
d_sym_265,-0.19467437144617442
d_sym_269,-0.07548051854339233
d_sym_274,-2.29288739748491
d_sym_278,1.696052146989684
d_sym_282,0.08679223268455069
d_sym_286,2.56199316143839
d_sym_288,-2.4250107785517807
d_sym_292,-1.1277141755664792
d_sym_295,-3.1745463758941783
d_sym_305,-2.228954781239086
d_sym_306,-0.16308638740779496
d_sym_309,-0.4863164270230266
d_sym_310,-0.3870709209372989
d_sym_320,-0.27921088098431757
d_sym_323,-0.7671367821666254
d_sym_324,0.1778297265763756
d_sym_333,1.4075964470879303
d_sym_339,-2.5221814461650887
d_sym_341,-1.9610681890506734
d_sym_342,-1.3031738926636312
d_sym_345,-0.049600850654016065
d_sym_352,0.07970264743269244
d_sym_355,-1.1103162569617437
d_sym_370,-3.306568160186456
d_sym_376,-1.6247247260991733
d_sym_382,-1.74555529038862
d_sym_405,-0.6023387799729489
d_sym_409,3.290015023746787
d_sym_411,2.2873419248302143
d_sym_412,-0.6702945163271969
d_sym_416,-1.3291475713513445
d_sym_425,-1.018250031010774
d_sym_432,-0.7722538333956459
d_sym_434,-0.542436738049455
d_sym_442,2.3700932584855954
d_sym_446,0.6535480652826409
d_sym_451,-1.9118869066026687
d_sym_460,-0.3470530822196441
d_sym_463,0.055682950653014505
d_sym_470,-0.409399549071397
d_sym_474,-0.30237200001982983
d_sym_481,-0.7834154762276474
d_sym_482,-1.9524593870114597
d_sym_485,-3.3163540299671443
d_sym_487,0.5216460877055077
d_sym_491,-0.18465292146616843
d_sym_492,-1.350319582240673
d_sym_494,-0.11772136176971347
d_sym_496,0.1979395447767255
d_sym_507,-1.4947763045439713
d_sym_509,0.09505717219952747
d_sym_516,0.4983484673032107
d_sym_518,-0.9210067768104113
d_sym_521,-0.27342856446227665
d_sym_522,2.109774721650992
d_sym_528,-1.528952430963312
d_sym_534,-0.20265207554427905
d_sym_537,-0.09221054184526133
d_sym_538,1.5004048908576721
d_sym_546,-1.9926930714511923
d_sym_558,-2.137533378046392
d_sym_567,0.9756608089335238
d_sym_581,-1.530747835306002
d_sym_582,0.007214977486713568
d_sym_586,-0.16852728282873614
d_sym_587,-0.4085462184217812
d_sym_590,-0.5956714503189802
d_sym_593,-2.5903436552544226
d_sym_595,0.9531987454989077
d_sym_599,-0.2964773285612029
d_sym_600,1.7230314424325346
d_sym_602,-0.0800469815500134
d_sym_606,1.9426961805629346
d_sym_612,1.1768921176394518
d_sym_615,3.2118308723853586
d_sym_619,2.560082456552123
d_sym_624,-0.9653471604018614
d_sym_626,0.7181645241349791
d_sym_651,-1.6194138958112996
d_sym_655,1.4423259874916148
d_sym_660,-0.64452744656946
d_sym_661,1.9354584216341215
d_sym_666,-2.4788110534969277
d_sym_667,-0.22103975133338263
d_sym_678,-0.06931453628725152
d_sym_682,-1.4345903556733692
d_sym_684,-2.0159500716286263
d_sym_690,7.3127240217568215
d_sym_693,0.8386199572211734
d_sym_699,-0.3466533378510751
d_sym_706,-0.18758192303723983
d_sym_715,3.993549981181947
d_sym_716,0.5146769942613805
d_sym_718,0.11990465939695885
d_sym_719,-1.9270731855310161
d_sym_724,-3.100002711293325
d_sym_726,-0.04578778915647517
d_sym_729,2.7770515254968218
d_sym_732,-2.0606583867417707
d_sym_734,0.5860047219942637
d_sym_736,-0.33960972119521776
d_sym_737,0.46416734370833207
d_sym_739,-0.32396531558008584
d_sym_740,-3.1781017643380536
d_sym_747,-0.355330683003547
d_sym_748,0.34734802785553587
d_sym_752,-0.18486156667105755
d_sym_754,-0.4215935875836008
d_sym_757,-0.08880086449791195
d_sym_760,-0.7172993211574987
d_sym_766,0.8917677124120689
d_sym_772,-2.680180391914852
d_sym_778,0.48954636278937413
d_sym_779,-0.9755901419621295
d_sym_782,1.5601471501969326
d_sym_787,-0.09360125198721712
d_sym_794,-0.04125935089836407
d_sym_811,-4.4589655070481165
d_sym_813,-0.8281503133540284
d_sym_820,-1.404286728713496
d_sym_825,0.2859929312263708
d_sym_830,0.21898893677788614
d_sym_832,-1.806170259964321
d_sym_833,0.07307245996837317
d_sym_834,0.35452477613703276
d_sym_842,-0.32852048693756863
d_sym_846,-2.626068909390399
d_sym_850,0.3843462307677068
d_sym_851,2.9042572611472357
d_sym_857,0.00438734514098415
d_sym_859,-1.982800436522286
d_sym_860,3.4496919756974656
d_sym_866,0.23441713670099196
d_sym_873,0.6971296749537569
d_sym_875,0.15047979847090803
