ContigName	GO
c_sym_357	No_GO
c_sym_358	GO:0008836;GO:0009089
c_sym_364	GO:0005847;GO:0016787;GO:0003723;GO:0006379;GO:0006378
c_sym_365	GO:0005524;GO:0005509;GO:0004683;GO:0030154;GO:0007275
c_sym_366	No_GOcodes
c_sym_367	GO:0008270
c_sym_368	GO:0031969;GO:0016021;GO:0008271;GO:0015293;GO:0006950
c_sym_369	No_GO
c_sym_376	No_GO
c_sym_379	GO:0005524
c_sym_380	No_GO
c_sym_381	No_GO
c_sym_383	No_GO
c_sym_384	GO:0005488;GO:0016829
c_sym_385	No_GO
c_sym_387	GO:0005524;GO:0004672
c_sym_388	No_GOcodes
c_sym_393	GO:0000811;GO:0006260
c_sym_394	No_GO
c_sym_395	No_GO
c_sym_401	No_GO
c_sym_402	GO:0007155
c_sym_407	GO:0016020;GO:0005524;GO:0016887
c_sym_408	No_GO
c_sym_410	GO:0005634;GO:0000166;GO:0003723;GO:0010171;GO:0009792;GO:0001703;GO:0040011;GO:0002009;GO:0000398;GO:0040010;GO:0042127;GO:0040020
c_sym_411	GO:0005622;GO:0050662;GO:0008446;GO:0000166;GO:0019673;GO:0009103
c_sym_412	No_GOcodes
c_sym_414	GO:0033808;GO:0016491;GO:0009813
c_sym_424	No_GO
c_sym_432	GO:0033980;GO:0030976
c_sym_438	No_GO
c_sym_442	No_GO
c_sym_444	No_GO
c_sym_445	GO:0005488
c_sym_448	No_GO
c_sym_450	No_GO
c_sym_451	No_GO
c_sym_452_3357	No_GO
c_sym_456	No_GO
c_sym_457	No_GO
c_sym_458	No_GO
c_sym_463	No_GOcodes
c_sym_465	No_GO
c_sym_466	GO:0009570;GO:0046872;GO:0004721
c_sym_467	No_GO
c_sym_468	No_GOcodes
c_sym_469	GO:0005488
c_sym_472	No_GO
c_sym_478	GO:0005829;GO:0005634;GO:0047134;GO:0030154;GO:0007275;GO:0016055
c_sym_481	No_GO
c_sym_488	No_GO
c_sym_491	GO:0016021;GO:0008158
c_sym_494	GO:0005524;GO:0004674;GO:0007165
c_sym_495	No_GOcodes
c_sym_497	No_GO
c_sym_500	GO:0005737;GO:0005524;GO:0004252;GO:0006508
c_sym_501	No_GO
c_sym_508	No_GO
c_sym_510	GO:0008287;GO:0046872;GO:0004722;GO:0006470
c_sym_512	GO:0000036;GO:0048037;GO:0016788;GO:0000166;GO:0016491;GO:0031177;GO:0016747;GO:0008270;GO:0009058
c_sym_515	GO:0005488
c_sym_520	GO:0000794;GO:0005829;GO:0030892;GO:0000790;GO:0005524;GO:0046982;GO:0051301;GO:0007064;GO:0016567
c_sym_525	No_GO
c_sym_526	No_GO
c_sym_529	GO:0071013;GO:0005654;GO:0005682;GO:0005524;GO:0008026;GO:0003676;GO:0000354
c_sym_530	No_GOcodes
c_sym_533	GO:0005789;GO:0033116;GO:0005794;GO:0016021;GO:0005515;GO:0015031
c_sym_534	No_GO
c_sym_537	No_GO
c_sym_542	No_GO
c_sym_543	GO:0000785;GO:0000932;GO:0005524;GO:0004004;GO:0003682;GO:0003677;GO:0003723;GO:0008270;GO:0007049;GO:0006281;GO:0006260;GO:0009048;GO:0071044;GO:0000184;GO:0006449
c_sym_545	GO:0005515;GO:0042074;GO:0009792;GO:0000132;GO:0007346
c_sym_546	GO:0005829;GO:0016020;GO:0004177;GO:0008236;GO:0006508
c_sym_552	GO:0005829;GO:0005634;GO:0004033;GO:0019568;GO:0042843
c_sym_557	No_GO
c_sym_558	No_GO
c_sym_568	GO:0009792;GO:0040007;GO:0040035;GO:0002119;GO:0040010;GO:0016246
c_sym_572	No_GO
c_sym_573	No_GO
c_sym_578	No_GO
c_sym_579	No_GO
c_sym_583	GO:0016021;GO:0005509;GO:0005216
c_sym_584	No_GO
c_sym_585	GO:0005515;GO:0051301;GO:0016049;GO:0042023;GO:0007067;GO:0010091
c_sym_590	No_GOcodes
c_sym_591	GO:0005524;GO:0004674
c_sym_592	No_GO
c_sym_593_64958	GO:0008287;GO:0046872;GO:0004722;GO:0006470
c_sym_594	No_GO
c_sym_597	No_GO
c_sym_603	GO:0009570;GO:0000107;GO:0016833;GO:0006541;GO:0000105
c_sym_604	No_GO
c_sym_605	No_GOcodes
c_sym_609	GO:0046872;GO:0004222;GO:0006508
c_sym_612	No_GO
c_sym_614	No_GO
c_sym_619	No_GOcodes
c_sym_626	GO:0001669;GO:0097208;GO:0005829;GO:0005615;GO:0035086;GO:0005764;GO:0001520;GO:0004177;GO:0016505;GO:0004197;GO:0030108;GO:0030984;GO:0043621;GO:0004252;GO:0070324;GO:0010815;GO:0097067;GO:0060448;GO:0070371;GO:0002764;GO:0033619;GO:0001656;GO:0043066;GO:0010813;GO:0045766;GO:0008284;GO:0010634;GO:0010628;GO:0031648;GO:0032526;GO:0007283;GO:0043129;GO:0001913;GO:0031638
c_sym_627	No_GO
c_sym_629	GO:0004502;GO:0019363
c_sym_633	No_GO
c_sym_634	No_GO
c_sym_635	No_GOcodes
c_sym_640	No_GO
c_sym_641	No_GO
c_sym_650	GO:0016021;GO:0004842;GO:0008270
c_sym_651	GO:0005737;GO:0005886;GO:0042651;GO:0005524;GO:0017038;GO:0006605
c_sym_653	No_GO
c_sym_654	No_GO
c_sym_656	No_GO
c_sym_660	No_GO
c_sym_661	No_GOcodes
c_sym_662	No_GO
c_sym_665	No_GOcodes
c_sym_676	No_GO
c_sym_681	No_GO
c_sym_686	No_GO
c_sym_688	No_GO
c_sym_689	GO:0016787
c_sym_690	GO:0004316;GO:0051287;GO:0006633
c_sym_693	GO:0016021;GO:0005743;GO:0005509;GO:0055085
c_sym_694	No_GO
c_sym_701	No_GO
c_sym_707	GO:0005634;GO:0030529;GO:0003723
c_sym_709	No_GO
c_sym_713	No_GO
c_sym_719	No_GO
c_sym_722	No_GO
c_sym_723	No_GO
c_sym_730	No_GO
c_sym_741	GO:0000166
c_sym_742	No_GO
c_sym_743	No_GO
c_sym_748	GO:0005737;GO:0016605;GO:0042803;GO:0004221;GO:0004843;GO:0006917;GO:0007275;GO:0016579;GO:0031647;GO:0051090;GO:0006511
c_sym_750	No_GO
c_sym_752	No_GO
c_sym_753	No_GO
c_sym_754	GO:0005634;GO:0045335;GO:0000166;GO:0008143;GO:0006378
c_sym_756	No_GO
c_sym_757	No_GO
c_sym_762	No_GO
c_sym_763	No_GO
c_sym_764	GO:0003676;GO:0008270
c_sym_768	No_GOcodes
c_sym_769	No_GO
c_sym_774	No_GO
c_sym_776	GO:0008234;GO:0008242;GO:0004221;GO:0008270;GO:0006511
c_sym_777	No_GO
c_sym_778	No_GO
c_sym_780	No_GO
c_sym_781	No_GO
c_sym_784	No_GO
c_sym_790	GO:0005524;GO:0003677;GO:0004386
c_sym_794	GO:0000036;GO:0003824;GO:0048037;GO:0000166;GO:0031177;GO:0009058
c_sym_796	No_GO
c_sym_797	GO:0016021;GO:0005524;GO:0042803;GO:0004674;GO:0004872
c_sym_801	No_GOcodes
c_sym_805	GO:0005634;GO:0003755;GO:0006457
c_sym_808	No_GO
c_sym_809	No_GO
c_sym_811	No_GO
c_sym_813	No_GO
c_sym_814	No_GO
c_sym_815	No_GO
c_sym_816	No_GO
c_sym_818	GO:0016757;GO:0009058
c_sym_819	GO:0016021;GO:0005886;GO:0005524;GO:0042626
c_sym_823	GO:0005576;GO:0004181;GO:0008270;GO:0006508
c_sym_825	No_GO
c_sym_827	No_GO
c_sym_829	No_GO
c_sym_830	No_GO
c_sym_836	GO:0051538;GO:0016041;GO:0046872;GO:0005515;GO:0006537;GO:0006541
c_sym_837	GO:0005788;GO:0003756;GO:0045454
c_sym_840	No_GO
c_sym_841	No_GO
c_sym_842	No_GO
c_sym_848	No_GOcodes
c_sym_849	No_GO
c_sym_850	GO:0005840;GO:0003735;GO:0006412
c_sym_853	No_GO
c_sym_858	No_GO
c_sym_862	GO:0005829;GO:0050662;GO:0000166;GO:0046983;GO:0003978;GO:0042546;GO:0006012
c_sym_863	GO:0005694;GO:0005634;GO:0005524;GO:0051301;GO:0030261;GO:0006310;GO:0006281;GO:0007126;GO:0007067;GO:0007062
c_sym_865	No_GO
c_sym_867	GO:0004416;GO:0008270
c_sym_868	No_GO
c_sym_872	GO:0005829;GO:0005730;GO:0030529;GO:0003723;GO:0006397;GO:0008380
c_sym_873	No_GO
c_sym_877	No_GO
c_sym_879	No_GO
c_sym_882	No_GOcodes
c_sym_885	No_GOcodes
c_sym_888	No_GO
